,Name,Score,Category,Price_Range
0,1. شاهي ابو وليد,9.5,Café,$
1,2. Aseeb Najdi Restaurant,9.5,Restaurant,$
2,3. دوّار السّعادة,9.4,Breakfast,$
3,4. McDonald's,9.4,Fast Food,$$
4,5. SHiRO,9.3,Japanese,$$$
5,6. Lavash,9.3,Armenian,$
6,7. Café Lilou,9.3,French,$
7,8. Burger Hunch,9.3,Burgers,$$$
8,9. KAIF,9.3,Café,$
9,10. Entrecôte Café de Paris,9.3,Swiss,$
10,11. Red Box,9.2,Restaurant,$
11,12. White Cafe,9.2,Café,$
12,13. Al Hatab Bakery,9.2,Bakery,$
13,14. TF BAKERY,9.2,Bakery,$
14,15. PICKUP,9.2,Burgers,$
15,16. Baōdo,9.2,Burgers,$
16,17. الشاي العراقي,9.2,Food Truck,$
17,18. SORS,9.1,Bakery,$
18,19. MUNAT Café,9.1,Café,$
19,20. TOFAREYA,9.1,Restaurant,$
20,21. The California Burger,9.1,Burgers,$
21,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$
22,23. SCRMY,9.1,Café,$$
23,24. Boga,9.1,Salad,$$$$
24,25. The Coffee Address,9.1,Café,$
25,26. Key,9.1,Café,$
26,1. شاهي ابو وليد,9.5,Café,$
27,2. Aseeb Najdi Restaurant,9.5,Restaurant,$
28,3. دوّار السّعادة,9.4,Breakfast,$
29,4. McDonald's,9.4,Fast Food,$$
30,5. SHiRO,9.3,Japanese,$$$
31,6. Lavash,9.3,Armenian,$
32,7. Café Lilou,9.3,French,$
33,8. Burger Hunch,9.3,Burgers,$$$
34,9. KAIF,9.3,Café,$
35,10. Entrecôte Café de Paris,9.3,Swiss,$
36,11. Red Box,9.2,Restaurant,$
37,12. White Cafe,9.2,Café,$
38,13. Al Hatab Bakery,9.2,Bakery,$
39,14. TF BAKERY,9.2,Bakery,$
40,15. PICKUP,9.2,Burgers,$
41,16. Baōdo,9.2,Burgers,$
42,17. الشاي العراقي,9.2,Food Truck,$
43,18. SORS,9.1,Bakery,$
44,19. MUNAT Café,9.1,Café,$
45,20. TOFAREYA,9.1,Restaurant,$
46,21. The California Burger,9.1,Burgers,$
47,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$
48,23. SCRMY,9.1,Café,$$
49,24. Boga,9.1,Salad,$$$$
50,25. The Coffee Address,9.1,Café,$
51,26. Key,9.1,Café,$
52,1. شاهي ابو وليد,9.5,Café,$
53,2. Aseeb Najdi Restaurant,9.5,Restaurant,$
54,3. دوّار السّعادة,9.4,Breakfast,$
55,4. McDonald's,9.4,Fast Food,$$
56,5. SHiRO,9.3,Japanese,$$$
57,6. Lavash,9.3,Armenian,$
58,7. Café Lilou,9.3,French,$
59,8. Burger Hunch,9.3,Burgers,$$$
60,9. KAIF,9.3,Café,$
61,10. Entrecôte Café de Paris,9.3,Swiss,$
62,11. Red Box,9.2,Restaurant,$
63,12. White Cafe,9.2,Café,$
64,13. Al Hatab Bakery,9.2,Bakery,$
65,14. TF BAKERY,9.2,Bakery,$
66,15. PICKUP,9.2,Burgers,$
67,16. Baōdo,9.2,Burgers,$
68,17. الشاي العراقي,9.2,Food Truck,$
69,18. SORS,9.1,Bakery,$
70,19. MUNAT Café,9.1,Café,$
71,20. TOFAREYA,9.1,Restaurant,$
72,21. The California Burger,9.1,Burgers,$
73,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$
74,23. SCRMY,9.1,Café,$$
75,24. Boga,9.1,Salad,$$$$
