,Name,Rating,Number of Ratings,Longitude,Latitude,neighborhood,restaurant,meal_takeaway,meal_delivery,cafe,food,bakery,Weighted Rating
0,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,حي الملز,1,0,0,0,1,0,4943.2
1,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,حي الملز,1,0,0,0,1,0,9642.5
2,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,حي الملز,1,0,0,0,1,0,1692.0
3,Dining Hall,3.0,27.0,46.6196551,24.7209893,حي الملز,1,0,0,0,1,0,81.0
4,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,حي الملز,1,0,0,0,1,0,6884.0
5,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,حي الملز,1,0,0,0,1,0,44109.0
6,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,حي الملز,1,0,0,0,1,1,45365.0
7,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,حي الملز,1,0,0,0,1,0,32178.399999999998
8,KFC,3.7,2198.0,46.737091,24.59506409999999,حي الملز,1,0,0,0,1,0,8132.6
9,McDonald's,3.9,2735.0,46.69138399999999,24.570255,حي الملز,1,0,0,0,1,0,10666.5
10,Domino's Pizza,3.8,589.0,46.6049938,24.692347,حي الملز,1,1,1,0,1,0,2238.2
11,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,حي الملز,1,0,0,0,1,0,101871.3
12,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,حي الملز,1,0,0,0,1,0,6145.2
13,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,حي الملز,1,0,0,0,1,0,4924.7
14,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,حي الملز,1,1,1,0,1,0,6851.4
15,Dominos,3.8,639.0,46.6240752,24.8105963,حي الملز,1,1,1,0,1,0,2428.2
16,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,حي الملز,1,0,0,0,1,0,3777.2
17,Hardee's,3.3,827.0,46.6436339,24.6008518,حي الملز,1,0,0,0,1,0,2729.1
18,KFC,3.5,975.0,46.6441676,24.6004069,حي الملز,1,0,0,0,1,0,3412.5
19,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,حي الملز,1,1,1,0,1,0,7581.599999999999
20,Mama Noura,4.1,11464.0,46.6653609,24.5717473,حي الملز,1,0,0,0,1,0,47002.399999999994
21,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,حي الملز,1,0,0,0,1,0,23438.399999999998
22,Herfy,3.8,1376.0,46.6983362,24.6940569,حي الملز,1,0,0,0,1,0,5228.8
23,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,حي الملز,1,0,0,0,1,0,6634.9
24,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,حي الملز,1,0,0,0,1,0,34845.899999999994
25,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,حي الملز,1,0,0,0,1,0,3323.1
26,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,حي الملز,1,0,0,0,1,0,303.4
27,KFC,3.6,1452.0,46.7923858,24.6840264,حي الملز,1,0,0,0,1,0,5227.2
28,Herfy,3.7,380.0,46.6575254,24.7559561,حي الملز,1,0,0,0,1,0,1406.0
29,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,حي الملز,1,1,1,0,1,0,9356.1
30,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,حي الملز,1,0,1,0,1,0,2401.3
31,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,حي الملز,1,0,0,0,1,0,18010.2
