Book_titles,AuthorName,Ratings,Ratings_count
To Kill a Mockingbird,Harper Lee,4.26,6184569
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10154742
Pride and Prejudice,Jane Austen,4.29,4303774
The Diary of a Young Girl,Anne Frank,4.19,3766481
Animal Farm,George Orwell,3.99,3927993
The Little Prince,Antoine de Saint-Exupéry,4.33,2133166
1984,George Orwell,4.19,4658860
The Great Gatsby,F. Scott Fitzgerald,3.93,5293738
The Catcher in the Rye,J.D. Salinger,3.80,3551849
The Lord of the Rings,J.R.R. Tolkien,4.53,680647
The Book Thief,Markus Zusak,4.39,2584409
Jane Eyre,Charlotte Brontë,4.15,2107902
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.27,655751
Lord of the Flies,William Golding,3.69,2926988
Romeo and Juliet,William Shakespeare,3.74,2624367
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3740833
The Kite Runner,Khaled Hosseini,4.34,3174925
"The Giver (The Giver, #1)",Lois Lowry,4.12,2505216
The Giving Tree,Shel Silverstein,4.38,1135771
Charlotte’s Web,E.B. White,4.20,1853642
Little Women,Louisa May Alcott,4.15,2252090
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,8753830
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,4017844
Of Mice and Men,John Steinbeck,3.89,2568290
Fahrenheit 451,Ray Bradbury,3.97,2444429
Green Eggs and Ham,Dr. Seuss,4.31,781594
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4235432
Wuthering Heights,Emily Brontë,3.89,1822520
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,567454
The Picture of Dorian Gray,Oscar Wilde,4.13,1556374
"Night  (The Night Trilogy, #1)",Elie Wiesel,4.37,1255122
Gone with the Wind,Margaret Mitchell,4.31,1211688
The Holy Bible: King James Version,Anonymous,4.44,295388
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,3733885
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1855265
Hamlet,William Shakespeare,4.02,961915
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3304546
The Adventures of Huckleberry Finn,Mark Twain,3.83,1270295
Tolkien On Fairy-stories,J.R.R. Tolkien,4.33,4191
Les Misérables,Victor Hugo,4.20,801851
The Alchemist,Paulo Coelho,3.91,3093564
Brave New World / Brave New World Revisited,Aldous Huxley,4.16,165859
Crime and Punishment,Fyodor Dostoevsky,4.27,915015
The Help,Kathryn Stockett,4.47,2786490
The Secret Garden,Frances Hodgson Burnett,4.16,1182027
Memoirs of a Geisha,Arthur Golden,4.15,2010307
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,2822932
The Odyssey,Homer,3.81,1090648
A Christmas Carol,Charles Dickens,4.08,845251
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.19,544489
The Outsiders,S.E. Hinton,4.13,1358419
A Thousand Splendid Suns,Khaled Hosseini,4.43,1544401
One Hundred Years of Solitude,Gabriel García Márquez,4.11,980117
The Grapes of Wrath,John Steinbeck,4.01,912847
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.31,989070
Where the Sidewalk Ends,Shel Silverstein,4.34,1413080
The Count of Monte Cristo,Alexandre Dumas,4.30,920975
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1383063
Where the Wild Things Are,Maurice Sendak,4.25,1008685
The Color Purple,Alice Walker,4.27,692134
The Adventures of Tom Sawyer,Mark Twain,3.92,942694
A Tale of Two Cities,Charles Dickens,3.87,952637
Life of Pi,Yann Martel,3.94,1634515
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14,2069503
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.87,1615266
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20,736231
"Oh, the Places You’ll Go!",Dr. Seuss,4.36,409645
Anna Karenina,Leo Tolstoy,4.09,855213
Tuesdays with Morrie,Mitch Albom,4.18,1038857
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.36,329379
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10,1377481
The Old Man and the Sea,Ernest Hemingway,3.80,1160531
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2826516
Catch-22,Joseph Heller,3.99,834852
The Scarlet Letter,Nathaniel Hawthorne,3.43,869409
Macbeth,William Shakespeare,3.89,907542
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.65,6634368
The Metamorphosis,Franz Kafka,3.87,1076850
Lolita,Vladimir Nabokov,3.88,857049
The Stranger,Albert Camus,4.02,1114569
Siddhartha,Hermann Hesse,4.07,778517
The Time Traveler’s Wife,Audrey Niffenegger,3.99,1792171
