,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
0,Subway,,3.8,378.0,46.104304,25.12849,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
1,calm pigeons restaurant,053 699 3499,3.8,1230.0,46.1107104,25.1296737,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
2,بيتزا الاسطورة,059 441 8592,4.2,159.0,46.1019063,25.109404,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
3,معصوب الفرسان,053 322 1778,3.7,36.0,46.1014454,25.1086827,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
4,Bait Almeena Restaurant,053 070 2120,3.5,257.0,46.09997660000001,25.107948,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
5,لذة محشي,053 807 7488,4.6,43.0,46.0991834,25.1076372,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
6,مطعم ريف الشاورما,011 526 2030,3.5,174.0,46.0981268,25.1074879,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
7,TO BE FIT مطعم صحي,056 809 3351,5.0,16.0,46.10349299999999,25.1107846,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
8,ytd,055 669 5304,,,46.1045323,25.1125007,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
9,RKN Pizza & Pastries Sakhna,055 441 1976,3.7,272.0,46.09438710000001,25.1130201,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
10,سلسلة مطاعم محمد شوقي,,5.0,3.0,46.0943735,25.1130808,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
11,فوال ومخبز,050 092 9979,3.5,33.0,46.0942281,25.1130291,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
12,كوب الذرة,050 919 6838,3.9,28.0,46.10486160000001,25.1147692,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
13,Matam Al Bukhari,050 743 8739,3.4,154.0,46.10709879999999,25.1114987,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
14,مطعم الشواية الفضية البخاري,,,,46.10403,25.1157976,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
15,BOOFIAH RESTAURANT,,2.6,16.0,46.1071233,25.1122995,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
16,بوفية شطيرة سريعة,057 309 7576,3.7,18.0,46.10816440000001,25.1124806,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
17,Sweets & Bakeries Harimlae,011 526 0468,4.0,52.0,46.1073989,25.1154135,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
18,Mohamed Elsa Restaurant,,3.0,1.0,46.1133909,25.1154502,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
19,جنيه الذهبي,050 253 9380,3.7,199.0,46.1168148,25.1164065,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
20,مطاعم ومطابخ الكوخ المندي,053 227 7719,3.9,218.0,46.11719490000001,25.1166758,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
21,Foodils Huraymila,055 174 6606,3.9,219.0,46.0949763,25.1266939,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
22,ريوق شاي,053 947 6336,4.8,22.0,46.1050044,25.1277272,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
23,بوفية ركن السحاب,053 460 3340,3.1,24.0,46.10497910000001,25.1277625,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
24,ركن الفرن الساخن,055 027 2301,3.9,230.0,46.104138,25.1283577,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
25,قهوة,,,,46.1097404,25.1293929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
26,مطعم نخبة الصفوة للأكلات الشعبية,050 624 7505,3.6,45.0,46.1238176,25.1247586,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
27,فوال الخرطوم,,3.0,3.0,46.1238362,25.1248808,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
28,Restaurant,054 196 7101,4.3,9.0,46.123683,25.125953,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
29,Rukn Assidah Mandi Restaurant,055 355 7152,4.0,73.0,46.1240169,25.1309205,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
30,فوال الطائف,055 999 2726,3.6,422.0,46.1241064,25.1309475,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
31,Bait Almeena Restaurant,053 070 2100,3.6,183.0,46.1239052,25.1313839,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
32,مطعم ومشويات تراث حلب,050 743 8655,3.8,73.0,46.12459459999999,25.1310194,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
33,Deerty Traditional Restaurant,011 526 1054,3.7,282.0,46.1247921,25.1309824,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
34,مطعم كوزين,056 961 7616,4.6,93.0,46.1253205,25.1308879,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
35,محارة الخليج Zinker King,055 883 5521,4.2,81.0,46.12539049999999,25.1308297,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
36,مطعم عالم الطهاة,055 372 5557,4.0,105.0,46.12555159999999,25.1308174,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
