,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
0,Ensana Sovata Health Spa Hotel,0265 570 151,4.2,2392,25.0877666,46.60208979999999,"['spa', 'health', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
1,Hotel Continental Forum,0372 658 800,4.2,1616,24.5611416,46.5468217,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
2,Black Lord Hotel,0771 638 593,3.2,42,24.535567,46.544842,"['cafe', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
3,Hotel Privo,0365 424 442,4.7,1190,24.5557532,46.5349453,"['bar', 'night_club', 'lodging', 'spa', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
4,Praid,0266 240 686,3.8,513,25.1249319,46.5511627,"['cafe', 'lodging', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
5,Complex Turistic Darina,0265 328 274,4.1,3775,24.448653,46.474911,"['lodging', 'parking', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
6,Darina,0265 259 390,4.0,1010,24.54,46.5255556,"['parking', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
7,Hotel Vector,0374 222 555,4.1,553,24.6610343,46.4295752,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
8,Pensiunea Koronka,0771 007 230,4.3,551,24.6159089,46.5103628,"['lodging', 'gym', 'spa', 'health', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
9,Casa Wagner,0265 506 014,3.9,927,24.7923903,46.2202367,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
10,Korona Hotel,0265 770 480,4.5,1193,24.78865999999999,46.2213935,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
11,Apollo Wellness Club,0265 319 159,4.3,1381,24.6083602,46.5836929,"['spa', 'lodging', 'health', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
12,Rex Hotel,0265 777 615,3.7,472,24.8115155,46.2257864,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
13,Hotel Szeifert Restaurant,0265 570 108,4.5,1220,25.082546,46.59967049999999,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
14,Ensana Ursina Health Spa Hotel,0265 570 651,4.5,1196,25.0889248,46.60128869999999,"['spa', 'lodging', 'restaurant', 'food', 'health', 'point_of_interest', 'establishment']",حي الربيع
15,Veritas Motel,0741 900 483,3.5,6,25.0512642,46.5805559,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']",حي الربيع
16,Complex Via,0265 306 165,4.2,466,24.5048988,46.5081338,"['car_wash', 'gas_station', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
17,Pensiunea Nemes Panzio,0724 303 140,4.3,326,24.650573,46.48004299999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
18,Complex Turistic Darina Sancraiu de Mures,0265 316 343,4.6,289,24.509098,46.55351,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
19,Mercure Sighisoara Binderbubi Hotel & Spa,0372 088 888,4.5,1373,24.793689,46.21560729999999,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
20,Hotel Restaurant Corsa,0744 794 767,3.6,254,24.7569149,46.2447122,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
21,Gemini VendéglőSzálló,,4.8,315,24.6207411,46.5899918,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']",حي الربيع
22,Mureșul Hotel Health Spa,0755 658 394,4.5,1013,25.08532899999999,46.5999279,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
23,Cantina - Restaurant La Efendi Targu Mures - Restaurante Targu Mures,0265 214 186,4.3,92,24.564732,46.5458169,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",حي الربيع
24,Positano,0742 568 392,5.0,4,24.5546402,46.5345004,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
25,Pensiunea Marianne,0723 730 031,4.1,133,24.762433,46.82166499999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
26,Piaf Cafe,0771 525 526,4.4,1322,24.5622691,46.5438327,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",حي الربيع
27,Emma,0365 404 664,4.4,172,24.558232,46.5444531,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
28,Profi Standard,0728 729 315,3.8,443,24.5605884,46.5345271,"['supermarket', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي الربيع
29,Telegdy Ház,0751 010 017,4.2,947,25.1204846,46.5513892,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
30,Tip Top,0746 238 004,4.3,648,24.5499343,46.5646362,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
31,Tranzit,0747 020 495,4.5,867,24.5567478,46.5451248,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
32,Restaurantul Parc,0751 031 920,4.3,127,24.7104138,46.7797704,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
33,Casablanca,0788 208 890,4.3,1788,24.7142506,46.7916641,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']",حي الربيع
34,Intim Bistro,0265 523 624,4.6,677,24.7008399,46.7792892,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
35,Peștișorul de Aur,0265 316 343,4.4,2384,24.5098324,46.5537834,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
36,Restaurant Montana,0265 554 400,4.0,923,24.8216247,46.9176254,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
37,White Horse Pension,0365 452 565,4.3,229,24.655702,46.685129,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
38,Hotel Restaurant Wassman,0751 150 914,4.6,52,24.6329218,46.5006478,"['restaurant', 'lodging', 'food', 'point_of_interest', 'establishment']",حي الربيع
39,Hotel Romantik,0747 507 011,3.9,614,24.7008457,46.4092772,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
40,"Restaurant Pensiune Lyra | mâncare tradițională, preparate bbq, livrare mures, restaurant mures",0265 333 090,4.7,4408,24.6315992,46.5009475,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
41,Restaurant Ciao,,4.2,32,24.5442805,46.52755459999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
42,Cuza Voda market,,4.1,1465,24.5531842,46.5468831,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
43,Crama Regun,0265 521 520,4.0,29,24.6984668,46.77895240000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
44,Barcsa Pizza,,4.4,82,24.4730736,46.55811689999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
45,Pensiunea Ovidiu & Paula,0769 678 507,4.6,424,25.076572,46.752413,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
46,IzvorulMolnar,0745 894 366,4.3,40,24.71018339999999,46.7878362,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']",حي الربيع
47,Schwabenhof Restaurant,0788 311 429,4.4,735,24.759619,46.631339,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
48,Bekecs Vendéglő,0749 645 833,4.4,256,24.8051964,46.53297409999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
49,Equinoxe Royal,0740 766 166,4.5,447,24.7136352,46.760662,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']",حي الربيع
50,FastFood,0751 858 874,4.1,166,24.7084427,46.7782716,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
51,Paulys Com S.R.L.,0741 021 464,4.4,110,24.6971453,46.7761343,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
52,Maia Bistro,,4.4,618,24.6993846,46.77828210000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
53,Pensiune Central,0749 277 540,4.6,214,24.6972658,46.7804614,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
54,Terasa Gliga,0745 348 000,4.1,349,24.7171423,46.79431030000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
55,Pensiunea Restaurant Vándor,0743 030 608,4.4,759,25.0139066,46.67044639999999,"['restaurant', 'lodging', 'food', 'point_of_interest', 'establishment']",حي الربيع
56,Gerendás Panzió,0766 052 988,4.8,7058,24.9422016,46.5190048,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
57,Restaurant Villa Sabina,0365 730 505,4.8,8,24.5778498,46.5617757,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربيع
58,Aqua Studio în Complexul Weekend Târgu Mureș,0743 135 573,3.9,318,24.5737978,46.5610315,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",حي الربيع
59,Restaurant Pescăruș de Mures,0365 882 967,4.5,325,24.57310480000001,46.5601387,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربيع
60,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
61,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
62,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
63,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
64,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
65,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
66,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
67,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
68,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
69,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
70,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
71,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
72,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
73,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
74,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الندى
75,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
76,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
77,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
78,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
79,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الندى
80,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
81,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
82,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
