,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
0,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
1,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
2,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
3,4. Fawal Alafrah,9.1,Breakfast,$,0,3
4,5. Finding Sushi,9.1,Sushi,$$,1,21
5,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
6,7. AlNaqaa,9.0,Breakfast,$,0,3
7,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
8,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
9,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
10,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
11,4. Fawal Alafrah,9.1,Breakfast,$,0,3
12,5. Finding Sushi,9.1,Sushi,$$,1,21
13,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
14,7. AlNaqaa,9.0,Breakfast,$,0,3
15,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
16,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
17,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
18,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
19,4. Fawal Alafrah,9.1,Breakfast,$,0,3
20,5. Finding Sushi,9.1,Sushi,$$,1,21
21,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
22,7. AlNaqaa,9.0,Breakfast,$,0,3
23,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
24,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
25,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
26,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
27,4. Fawal Alafrah,9.1,Breakfast,$,0,3
28,5. Finding Sushi,9.1,Sushi,$$,1,21
29,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
30,7. AlNaqaa,9.0,Breakfast,$,0,3
31,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
32,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
33,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
34,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
35,4. Fawal Alafrah,9.1,Breakfast,$,0,3
36,5. Finding Sushi,9.1,Sushi,$$,1,21
37,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
38,7. AlNaqaa,9.0,Breakfast,$,0,3
39,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
40,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
41,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
42,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
43,4. Fawal Alafrah,9.1,Breakfast,$,0,3
44,5. Finding Sushi,9.1,Sushi,$$,1,21
45,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
46,7. AlNaqaa,9.0,Breakfast,$,0,3
47,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
48,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
49,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
50,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
51,4. Fawal Alafrah,9.1,Breakfast,$,0,3
52,5. Finding Sushi,9.1,Sushi,$$,1,21
53,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
54,7. AlNaqaa,9.0,Breakfast,$,0,3
55,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
56,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
57,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
58,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
59,4. Fawal Alafrah,9.1,Breakfast,$,0,3
60,5. Finding Sushi,9.1,Sushi,$$,1,21
61,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
62,7. AlNaqaa,9.0,Breakfast,$,0,3
63,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
64,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
65,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
66,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
67,4. Fawal Alafrah,9.1,Breakfast,$,0,3
68,5. Finding Sushi,9.1,Sushi,$$,1,21
69,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
70,7. AlNaqaa,9.0,Breakfast,$,0,3
71,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
72,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$,0,2
73,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
74,3. محامص ومطاحن السوادي,9.2,Snacks,$,0,20
75,4. Fawal Alafrah,9.1,Breakfast,$,0,3
76,5. Finding Sushi,9.1,Sushi,$$,1,21
77,6. AL TYSEER,9.0,Middle Eastern,$$,1,13
78,7. AlNaqaa,9.0,Breakfast,$,0,3
79,8. مضغوط تهامة,9.0,Fried Chicken,$,0,10
80,1. Dunkin’,9.6,Donuts,$,0,6
81,2. Plenty Sld’s,9.6,Salad,$,0,17
82,3. Shml,9.5,Café,$,0,5
83,4. Dunkin,9.5,Donuts,$,0,6
84,5. شاهي ابو وليد,9.5,Café,$,0,5
85,6. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,16
86,7. Easy Bakery,9.5,Bakery,$,0,2
87,8. The Sift,9.5,Bakery,$,0,2
88,9. Plenty Sld’s,9.5,Salad,$,0,17
89,10. Fabrica De Cafe,9.4,Café,$,0,5
90,11. BAC Bakehouse & Coffee,9.4,Bakery,$,0,2
91,12. Biox,9.4,Bakery,$,0,2
92,13. Unsörso Cafè,9.4,Café,$,0,5
93,14. Fabrica De Cafe,9.4,Café,$,0,5
94,15. دوّار السّعادة,9.4,Breakfast,$,0,3
95,16. McDonald's,9.4,Fast Food,$,0,8
96,17. FISHFACE,9.4,Poke Restaurant,$,0,15
97,18. Half Million,9.4,Café,$,0,5
98,19. The60Pasta,9.4,Food Truck,$,0,9
99,20. فوال الافراح,9.4,Breakfast,$$$,2,3
100,21. Dopeamine,9.4,Bakery,$,0,2
101,22. أسماك دلة,9.4,Seafood,$$,1,18
102,23. Graph,9.3,Café,$,0,5
103,24. SHiRO,9.3,Japanese,$,0,12
104,25. Ghemar Cafe,9.3,Bakery,$$$,2,2
105,26. Lavash,9.3,Armenian,$$,1,0
106,27. Wasl Cafe,9.3,Café,$,0,5
107,1. Dunkin’,9.6,Donuts,$,0,6
108,2. Plenty Sld’s,9.6,Salad,$,0,17
109,3. Shml,9.5,Café,$,0,5
110,4. Dunkin,9.5,Donuts,$,0,6
111,5. شاهي ابو وليد,9.5,Café,$,0,5
112,6. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,16
113,7. Easy Bakery,9.5,Bakery,$,0,2
114,8. The Sift,9.5,Bakery,$,0,2
115,9. Plenty Sld’s,9.5,Salad,$,0,17
116,10. Fabrica De Cafe,9.4,Café,$,0,5
117,11. BAC Bakehouse & Coffee,9.4,Bakery,$,0,2
118,12. Biox,9.4,Bakery,$,0,2
119,13. Unsörso Cafè,9.4,Café,$,0,5
120,14. Fabrica De Cafe,9.4,Café,$,0,5
121,15. دوّار السّعادة,9.4,Breakfast,$,0,3
122,16. McDonald's,9.4,Fast Food,$,0,8
123,17. FISHFACE,9.4,Poke Restaurant,$,0,15
124,18. Half Million,9.4,Café,$,0,5
125,19. The60Pasta,9.4,Food Truck,$,0,9
126,20. فوال الافراح,9.4,Breakfast,$$$,2,3
127,21. Dopeamine,9.4,Bakery,$,0,2
128,22. أسماك دلة,9.4,Seafood,$$,1,18
129,23. Graph,9.3,Café,$,0,5
130,24. SHiRO,9.3,Japanese,$,0,12
131,25. Ghemar Cafe,9.3,Bakery,$$$,2,2
132,26. Lavash,9.3,Armenian,$$,1,0
133,27. Wasl Cafe,9.3,Café,$,0,5
134,1. Dunkin’,9.6,Donuts,$,0,6
135,2. Plenty Sld’s,9.6,Salad,$,0,17
136,3. Shml,9.5,Café,$,0,5
